galaxy_id,team_release,field_id,shard_index,status,reason,response_products_used,n_profile_annuli,profile_q_source,profile_rmax_arcsec,moment0_shape,mask_shape,n_mask_finite_pixels,pixel_scale_arcsec,moment0_inside_mask_sum,moment0_inside_mask_negative_pixels,mom0_url,mask_url,mom0_sha256,mask_sha256,mom0_bytes,mask_bytes
WALLABY J125127+054748,NGC 4808 TR1,NGC4808,20,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,42x45,145x42x45,347,6.000000000012,164865.171875,55,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125127+054748_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125127+054748_NGC_4808_TR1_mask.fits,efe8a9cf394262e02bfa4ca5f62d38dc2aca63b3200626b043a39b8b1d258980,beb28bdb173c8dd7997c9e8dff52531743248db43b29ba9a9713d2e41ca39c50,20160,288000
WALLABY J125133+080241,NGC 4808 TR1,NGC4808,10,pass,,False,23,0.5568257003455429,138.000000000276,53x38,77x53x38,429,6.000000000012,190958.984375,39,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125133+080241_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125133+080241_NGC_4808_TR1_mask.fits,19d34244c57b50bcc7c4fd44add72a86683e5da854f50d4c9dbd0cddce4a5785,97f09d7def87b70b311361c877884f576aec407b959841878d53f772720b7e40,20160,167040
WALLABY J125134+055147,NGC 4808 TR1,NGC4808,9,pass,,False,12,0.655645914272237,72.000000000144,34x37,124x34x37,182,6.000000000012,76878.8984375,26,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125134+055147_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125134+055147_NGC_4808_TR1_mask.fits,62ddd2eb53dcbe2541c5024bd97f02839c2e15892d457e67a81444433a1af810,2b9ef74507ec7a2fce4f947e232fbd543562e20afc752ceda4ac6c68537b240b,17280,169920
WALLABY J125156+035954,NGC 4808 TR1,NGC4808,11,pass,,False,18,0.7748036273355249,108.000000000216,43x42,95x43x42,324,6.000000000012,114085.578125,51,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125156+035954_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125156+035954_NGC_4808_TR1_mask.fits,e257a45bc2169377168e3f6f6b1b1fb02d3eee475f6efd2f35f1fd83ecf46d7a,0076c9419e8cf7c737b8e07da2606039cb4a20ca2c1278716275e016ecd7a42a,20160,184320
WALLABY J125211+043045,NGC 4808 TR1,NGC4808,19,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,40x35,95x40x35,201,6.000000000012,66449.4375,15,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125211+043045_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125211+043045_NGC_4808_TR1_mask.fits,3db994429e914bc915e872234c1856e780f40e20f9fbb8a2ec1f77a9b9398e72,b6c89426fec6fe4c629ee0c281fb0cc9a8989d5a0b5ca83b0a6c2d8a36006983,17280,146880
WALLABY J125215+042728,NGC 4808 TR1,NGC4808,1,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,36x42,56x36x42,282,6.000000000012,160944.5,49,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125215+042728_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125215+042728_NGC_4808_TR1_mask.fits,a118d1b5c5f7e31fa4274b1e73244935c0c90bfbbf4dc64ffdad014acf14f198,a5710ae31b7366b28e2fc78a39d4734c5446125c3bbed017392d3af33925bc63,20160,97920
WALLABY J125224+071046,NGC 4808 TR1,NGC4808,16,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,37x38,95x37x38,221,6.000000000012,113581.6953125,33,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125224+071046_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125224+071046_NGC_4808_TR1_mask.fits,f39982ec65c405612e3c498ca79b402c10c037c5a4c5c300398006310e179219,355df314fce1390f20595e2c6cd7313c557c76b3fa7b39cfadcc0ab4b4d0b9e6,17280,146880
WALLABY J125233+031517,NGC 4808 TR1,NGC4808,14,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,35x41,104x35x41,220,6.000000000012,100076.484375,34,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125233+031517_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125233+031517_NGC_4808_TR1_mask.fits,1bffc4b6149e343272c31de900c1ad3802cb6110e01af6cd87ea0557a36b7e36,1c5f2e66d3320821e010d5a0a32ff852feaff1f155da2a29874852233355d12e,17280,161280
WALLABY J125243+075643,NGC 4808 TR1,NGC4808,8,pass,,False,16,0.719658548822534,96.000000000192,40x43,90x40x43,298,6.000000000012,106933.390625,38,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125243+075643_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125243+075643_NGC_4808_TR1_mask.fits,0a1e7496e175ce1d6ff38bd04b1476c827cf6cb8afa4fc93d2176b7485fa56df,7d44faa40662fd87b0959087c69ced5da37556818e3292bc0e9381f34bc38419,20160,167040
WALLABY J125258+073025,NGC 4808 TR1,NGC4808,3,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,38x41,132x38x41,268,6.000000000012,116077.484375,40,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125258+073025_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125258+073025_NGC_4808_TR1_mask.fits,56e4137374fc01fcf662481875f7c8163eb5e962887548dfd63ca34866cfd4dc,ba5df632f4c10f2e387a7b2edefa4d6fc4dbecc202d9f0951847006210bcd140,20160,218880
WALLABY J125303+070944,NGC 4808 TR1,NGC4808,21,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,35x41,68x35x41,227,6.000000000012,67056.3515625,26,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125303+070944_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125303+070944_NGC_4808_TR1_mask.fits,f67f4f537b59d6110cc7f47f4a5e024f23fd6576efec20c96d91aa9bf924ffa0,0a21909d5e0072bfa749bc75ee109651f17d6f2df7dfdda9d677f18871110211,17280,109440
WALLABY J125308+081035,NGC 4808 TR1,NGC4808,19,pass,,False,9,0.7503877389253264,54.000000000108,33x34,64x33x34,138,6.000000000012,34250.8671875,7,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125308+081035_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125308+081035_NGC_4808_TR1_mask.fits,490c667409740ace61b3124f05f8d3fac2317815bf22ada4ae62d7ae99a905d2,c7b2ffadf36c7ba610b0381ff172a8884d52b3f5c43d54b825bf34d8704d2510,17280,83520
WALLABY J125311+032639,NGC 4808 TR1,NGC4808,20,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,39x42,54x39x42,332,6.000000000012,128694.390625,36,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125311+032639_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125311+032639_NGC_4808_TR1_mask.fits,c5cbb4829eb410875cefc465becee6539958287ebb24b69904ee016665a024ee,52b4c40c5cb85ce90550d60d0dd936a3285f18d3c98e553ed788d5c5aacb58b5,20160,100800
WALLABY J125313+042746,NGC 4808 TR1,NGC4808,23,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,81x73,94x81x73,1847,6.000000000012,1754625.5,119,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125313+042746_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125313+042746_NGC_4808_TR1_mask.fits,c6051619f8746048e14ff1c440e8ea43dfd31d3eb56e6567eb6194dd2a4f3d4a,6ebee7a10f60bbc09cdc26b5beb1588ddee969ac2e6b3d0152e2f2a42d1a8328,37440,567360
WALLABY J125334+060947,NGC 4808 TR1,NGC4808,13,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,33x35,78x33x35,143,6.000000000012,47178.97265625,10,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125334+060947_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125334+060947_NGC_4808_TR1_mask.fits,f4d390cf7e75cc2076a27671ca04ce60f38333d237da9b151dbd27edcde71610,df252996986c3bb13c096b90372c19f8ba320cd96030686c88ccd1002822dd61,17280,103680
WALLABY J125339+040434,NGC 4808 TR1,NGC4808,9,pass,,False,8,0.8720051327469887,48.000000000096,33x31,46x33x31,103,6.000000000012,31573.734375,13,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125339+040434_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125339+040434_NGC_4808_TR1_mask.fits,8a223a75bdffe11f65624585fb875c8aa31e2abadcad5f1695a7f24aa88f76ad,616b06f2cf285896f62c3e3301b04379ccc4a0673e42dd2a01b924d932f3c81d,17280,60480
WALLABY J125340+064728,NGC 4808 TR1,NGC4808,4,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,35x36,84x35x36,191,6.000000000012,102069.375,38,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125340+064728_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125340+064728_NGC_4808_TR1_mask.fits,4e4d416033c4874dbc2d839c738b5f22c88c44313cbfb8796cbd47da5fd04e07,fbe5899f32f55ea3e229b2847401b33d2e196c6c91ba5f05457f473bb8a40b9e,17280,118080
WALLABY J125341+034603,NGC 4808 TR1,NGC4808,17,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,44x46,80x44x46,378,6.000000000012,172742.9375,66,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125341+034603_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125341+034603_NGC_4808_TR1_mask.fits,7a11ad8a149e366c3a55060076c1205584eb4b0ad48444dba7553cf85272d1a6,4235adc7f2ab0bf720b17669aface951441ef117110df8783ffdb185e76d690c,20160,175680
WALLABY J125343+040920,NGC 4808 TR1,NGC4808,19,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,34x35,49x34x35,160,6.000000000012,54740.1328125,27,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125343+040920_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125343+040920_NGC_4808_TR1_mask.fits,c075b4918c8496dad0d09bf86f855cab9696896dfb03896af452a84c4c71fe91,a69ada4d2cdadd8ef55bcda430b4bf73457cca89d8eaec701ec6954a3270a380,17280,72000
WALLABY J125413+052149,NGC 4808 TR1,NGC4808,22,pass,,False,16,0.8207103926999142,96.000000000192,43x44,117x43x44,361,6.000000000012,156496.921875,67,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125413+052149_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125413+052149_NGC_4808_TR1_mask.fits,a74c413657cbc031af87d89ee4ae0725711d66af6fc3145b01fd112895e4a2dd,214e3ebd0a649815ec21fdd757f805d62adb32c0c7dd650e9eb0264bb129b1e4,20160,233280
WALLABY J125413+065150,NGC 4808 TR1,NGC4808,12,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,32x32,80x32x32,123,6.000000000012,43804.8046875,22,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125413+065150_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125413+065150_NGC_4808_TR1_mask.fits,882af077d0f49acf0a7ec179a81ed63f79f1d530c383632fa7011a1a9cd93ba7,d457a73ff24ebec326be26e9e1ee27a4707db718273f055f2f4193def3f2f351,17280,95040
WALLABY J125419+064115,NGC 4808 TR1,NGC4808,19,profile_rejected,source radial support contains fewer than 8 pixel-scale annuli,False,,,,25x32,59x25x32,111,6.000000000012,44966.21484375,6,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125419+064115_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125419+064115_NGC_4808_TR1_mask.fits,df4f343b51147244d1092a723fd2fee8ca2a4458548cad6883f96529cf1bba95,8234cd74f44dedddbb60a3f5ccc52a281b60ebba5cc6271fa64f3334c5ce64df,17280,60480
WALLABY J125431+050959,NGC 4808 TR1,NGC4808,11,profile_rejected,negative source annular moment-0 weight; no clipping is allowed,False,,,,37x35,145x37x35,180,6.000000000012,71252.875,32,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125431+050959_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125431+050959_NGC_4808_TR1_mask.fits,9f3e5eeb11f06b079469adf4b3c7286f3df9eda3b8872f7dc4c12793e94ff7ee,944ed7a90d5d96179e0453fa6c42d39b05ca97d03be17125c013b33a41e22359,17280,201600
WALLABY J125441+050734,NGC 4808 TR1,NGC4808,23,pass,,False,9,0.7963016210691591,54.000000000108,33x29,77x33x29,79,6.000000000012,34821.28515625,0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125441+050734_NGC_4808_TR1_mom0.fits,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/WALLABY/WALLABY_J125441+050734_NGC_4808_TR1_mask.fits,b006f2052260eded0ea2311df1de1d2b16f0ae126b55528561790b28447c5651,8865656df1ad64ab74fe5d9cf80d58c8b3ddc02a1e8a541a27b93811c0a75aed,17280,86400
